file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
P28_sent098,0.0,12.7988125,P28,-56.07141285211268,-60.995576654161724,31.552496534077765,23.60904408146766
P24_sent092,0.0,5.0039375,P24,-62.66763538529116,-65.34119288126628,23.06712852342526,20.780519053185618
P23_sent127,0.0,9.9990625,P23,-52.50215274298597,-64.39376544952393,20.29544728568816,18.572694112614144
P27_sent131,0.0,11.703125,P27,-56.285557577054796,-64.4134996375259,19.843922039805143,21.934988993055555
P28_sent072,0.0,6.0498125,P28,-55.55993470149254,-67.1152012688773,19.07812632731871,23.68743193510395
P27_sent167,0.0,5.96,P27,-52.93432699389731,-68.22927576700846,18.223142218171827,21.864424629326244
P23_sent125,0.0,10.002,P23,-57.08414876628257,-63.35516869394403,17.91606353464016,17.062593102710746
P29_sent135,0.0,9.3476875,P29,-53.59530328912111,-65.56609765077249,17.55664417694179,6.315683194813888
P23_sent151,0.0,10.0029375,P23,-46.12743064253507,-60.527203590639175,16.017549496109552,16.8050899303083
P23_sent075,0.0,9.9990625,P23,-47.457896261272545,-63.05378904796782,15.125667442815843,21.772921922997114
P24_sent172,0.0,5.0098125,P24,-55.111171561873746,-68.60553203929554,14.725252094415476,24.833743202082093
P24_sent160,0.0,5.005875,P24,-60.11062750501002,-63.13893555431831,14.656150071979404,26.311245539938195
P23_sent129,0.0,10.002,P23,-50.75308820766533,-61.192335173141124,14.612351573606366,18.365361538850955
P28_sent006,0.0,4.703125,P28,-54.94595936832265,-64.1238089168773,14.108847944356057,23.57522830491032
P29_sent163,0.0,6.7734375,P29,-57.901921296296294,-69.42489503559314,13.664725046256665,15.461921447774346
P24_sent074,0.0,5.0,P24,-55.39886891315261,-62.48075939360119,13.460363604245883,23.336090705588383
P27_sent123,0.0,5.127,P27,-50.90188891267123,-63.63558270381047,13.293008853813118,24.545644069616877
P23_sent013,0.0,10.004875,P23,-45.552252943386776,-62.6031379699707,12.678261922181173,23.310522709947282
P23_sent171,0.0,10.005875,P23,-52.556810716966964,-61.43621974521213,12.561647614985224,18.50480152933253
P23_sent107,0.0,9.9980625,P23,-49.5958910007515,-64.60693307825036,12.517996033712361,20.912976766880867
P22_sent044,0.0,5.0,P22,-52.001635448042165,-56.78162506103516,12.421469154946706,21.878117448084897
P21_sent036,0.0,3.996125,P21,-52.05285215138191,-64.90137312147353,12.341207387615048,24.167940505924214
P24_sent164,0.0,5.004875,P24,-63.61281061746988,-67.28458589496034,12.10164304565584,16.46731175829813
P29_sent153,0.0,6.8379375,P29,-53.02221751282991,-64.55930411815643,11.844285521200003,22.570122037904042
P29_sent095,0.0,9.140625,P29,-47.64896004660088,-68.93043776481382,11.698805071214773,18.208576070023724
P23_sent173,0.0,10.001,P23,-48.05559948021042,-67.57927166331898,11.565337369507624,23.35644138873949
P29_sent165,0.0,6.5928125,P29,-53.16306364155251,-69.3639127557928,11.401634850709847,12.949305237541513
P23_sent101,0.0,10.0029375,P23,-49.00153040455912,-69.36965653954482,11.31634329251607,21.47219868554386
P23_sent141,0.0,10.0039375,P23,-45.928474135771545,-59.352801546137385,11.178203383091049,25.86480452546146
P23_sent043,0.0,10.0039375,P23,-56.91590603081163,-66.8168419429234,11.07675025313148,8.321618922629463
P27_sent045,0.0,6.9404375,P27,-54.2043555816474,-63.55802510579427,10.487503835965942,23.79895853226662
P27_sent013,0.0,6.6953125,P27,-56.05102685254491,-68.54680722554525,10.305431148870731,21.908385978948342
P30_sent162,0.0,4.5908125,P30,-40.189200971006564,-49.57842575073242,10.265736031927496,12.845587690630698
P23_sent155,0.0,10.0029375,P23,-47.298013996743485,-63.13906831007738,10.258702538959838,21.60189666883523
P30_sent104,0.0,9.558625,P30,-44.04824669156184,-54.867823680241905,10.207038165644024,12.632070575001368
