file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
P23_sent087,0.0,10.0039375,P23,-44.47657032815631,-56.3452215755687,33.70772560314476,2.9083830605457983
P24_sent092,0.0,5.0039375,P24,-62.24489363704819,-65.53368813650948,19.80183037102005,20.838513450274505
P27_sent167,0.0,5.96,P27,-51.833688446969695,-69.71605911254883,18.686526834891232,21.23369540111395
P29_sent135,0.0,9.3476875,P29,-52.256263397642016,-65.49923145069795,18.541306025332453,19.97521601003475
P28_sent072,0.0,6.0498125,P28,-55.252209007048094,-67.84686701638358,17.737163514097738,23.10762279330816
P22_sent062,0.0,5.005875,P22,-52.81450792209419,-53.40671375819615,15.293467485624872,18.176538912465396
P23_sent129,0.0,10.002,P23,-49.71016642660321,-59.73629042159679,14.403267432081417,18.36536123049374
P22_sent104,0.0,5.001,P22,-62.87878859186747,-63.03280033784754,12.52107524978499,9.793117745426374
P28_sent006,0.0,4.703125,P28,-54.69400206997863,-63.92169391407686,12.397931092685042,23.590117908586038
P22_sent044,0.0,5.0,P22,-52.22243662148595,-57.47472702026367,12.25962667575798,21.878117448084897
P26_sent127,0.0,4.0039375,P26,-63.32573512091709,-63.01454784995631,12.129049239439897,11.629039978292441
P27_sent123,0.0,5.127,P27,-49.90954852617417,-64.75335047795222,11.90950699210057,24.545644069616877
P23_sent155,0.0,10.0029375,P23,-47.11594673722445,-62.68492150306702,11.850214780094417,21.661421557823225
P22_sent008,0.0,4.9990625,P22,-50.24261106927711,-55.376956738923724,11.742411231175106,17.994030697462435
P30_sent006,0.0,4.1025625,P30,-44.705303117340684,-55.054967164993286,11.66530076421348,11.380750502517472
P23_sent101,0.0,10.0029375,P23,-47.24024220315631,-64.58832510586443,11.577272431755157,20.767927967847022
P29_sent165,0.0,6.5928125,P29,-52.447779918188736,-69.45961449363016,11.441671460244878,12.949305237541513
P23_sent173,0.0,10.001,P23,-47.083765186623246,-65.22097563743591,11.357752181685656,8.68883328166105
P23_sent199,0.0,10.0088125,P23,-54.78453453453454,-61.39076917599409,11.31259732165957,15.489254351023732
P23_sent153,0.0,10.0,P23,-40.11962988476954,-57.66021591186524,11.031397496148612,26.06910380008651
P29_sent095,0.0,9.140625,P29,-46.61862664473684,-69.16243534703409,10.786564455285884,18.775230495786303
P24_sent098,0.0,4.9970625,P24,-54.34640907379518,-59.6140147617885,10.688461296652257,21.75682212388949
P24_sent152,0.0,5.002,P24,-50.17556946536145,-57.83470108032227,10.621985600485049,16.8681390991562
P24_sent160,0.0,5.005875,P24,-59.81375641908818,-63.16124613692121,10.595005979330605,26.311245539938195
P30_sent064,0.0,5.255875,P30,-39.700288495944655,-52.53669224614682,10.461675495099367,12.004900427578907
P27_sent045,0.0,6.9404375,P27,-53.53287572254335,-64.41210589938693,10.349046505836448,23.798957670746404
P22_sent098,0.0,5.0019375,P22,-51.86344204944779,-57.509188697451634,10.32215341042291,17.1869771810392
P30_sent138,0.0,6.694375,P30,-43.35813928973013,-53.03564703053441,10.299061285550133,12.722210475577594
P23_sent175,0.0,10.0029375,P23,-46.97748622244489,-64.0855360031128,9.979852570743072,23.529505646221576
P27_sent013,0.0,6.6953125,P27,-55.330078125,-68.67961095174154,9.890855192995952,22.318818084762505
P24_sent116,0.0,5.0029375,P24,-62.165364583333336,-63.476799163818356,9.788100801826399,24.440118929348884
P23_sent127,0.0,9.9990625,P23,-51.059521386523045,-64.45964675479465,9.666702022905602,17.9251267599602
P23_sent037,0.0,10.001,P23,-44.039716151052104,-63.95483125959124,9.666698769214943,20.136510062992613
P30_sent110,0.0,23.0556875,P30,-48.236962212456596,-59.33329347882952,9.618457610933433,4.049150070399888
P29_sent173,0.0,4.2539375,P29,-51.65556663711584,-62.954298291887554,9.589520170748775,23.852059769664855
P23_sent181,0.0,10.0029375,P23,-50.20067087299599,-64.40001418742727,9.530229221890641,18.315332828635533
P24_sent074,0.0,5.0,P24,-56.314472734688756,-62.75323969523112,9.498440192274787,5.0690695802866355
P29_sent077,0.0,5.5986875,P29,-52.681546118951616,-65.97957767139782,9.366940880798037,22.343004830464295
P23_sent137,0.0,9.9931875,P23,-44.43586619232698,-60.31909799575806,9.269693061487141,22.495332668273562
P30_sent086,0.0,6.3671875,P30,-40.91934977854331,-50.871340453624725,9.120823833608398,12.277688523420208
P23_sent145,0.0,9.9980625,P23,-45.78846364604208,-60.44779791150774,9.112289475040564,23.000308613141627
P26_sent147,0.0,4.001,P26,-63.83975541771357,-62.72346045754173,8.999065013325353,4.313509050120503
P28_sent086,0.0,3.8379375,P28,-51.44207603893979,-61.02512426937328,8.978997323024618,25.0191765759402
P27_sent113,0.0,6.7910625,P27,-54.9138778618907,-69.81607838166066,8.895638075716194,21.803988793855613
P23_sent043,0.0,10.0039375,P23,-54.7751127254509,-63.506951014200844,8.862388659169383,9.658930336973501
P26_sent005,0.0,4.0039375,P26,-60.170932788944725,-64.68015870593842,8.856892753479787,14.030683950360405
P28_sent098,0.0,12.7988125,P28,-57.08846219679186,-61.80672340393066,8.834287438072895,3.2743251708914105
P23_sent115,0.0,10.0029375,P23,-47.175550319388776,-61.479986111323036,8.786444710181605,20.27356657074987
P24_sent130,0.0,5.0039375,P24,-55.10046435742972,-62.2396335086307,8.786441067626976,26.163794271241184
